año_ocu,color_veh,depto_ocu,día_ocu,día_sem_ocu,fall_les,g_hora_5,hora_ocu,mes_ocu,modelo_veh,tipo_eve,tipo_veh
2019,5,10,12,6,2,3,23,1,9999,6,4
2019,1,18,12,6,1,1,7,1,2011,1,4
2019,5,18,12,6,2,3,18,1,9999,1,4
2019,5,18,12,6,2,3,18,1,9999,1,4
2019,5,18,12,6,2,3,18,1,9999,1,4
2019,5,18,12,6,2,3,18,1,9999,1,4
2019,5,18,12,6,2,3,18,1,9999,1,4
2019,5,18,12,6,2,3,18,1,9999,1,4
2019,99,3,12,6,2,3,18,1,9999,1,4
2019,5,3,12,6,2,3,21,1,9999,1,4
2019,5,3,12,6,1,1,3,1,9999,2,4
2019,4,1,13,7,2,1,10,1,2017,1,4
2019,4,1,13,7,2,1,10,1,2017,1,4
2019,3,1,13,7,1,3,20,1,9999,2,4
2019,3,1,13,7,2,1,9,1,9999,1,4
2019,5,1,13,7,2,1,9,1,9999,1,4
2019,5,1,13,7,2,1,9,1,9999,1,4
2019,5,1,13,7,2,3,21,1,9999,1,4
2019,5,1,13,7,2,3,21,1,9999,1,4
2019,5,1,13,7,2,3,21,1,9999,1,4
2019,4,22,13,7,1,2,16,1,9999,3,1
2019,4,22,13,7,2,2,16,1,9999,3,1
2019,4,22,13,7,2,2,16,1,9999,3,1
2019,4,22,13,7,2,2,16,1,9999,3,1
2019,3,21,13,7,2,2,14,1,2007,1,4
2019,1,21,13,7,2,2,17,1,2013,6,4
2019,9,19,13,7,2,1,0,1,2002,6,4
2019,4,19,13,7,1,1,3,1,9999,6,4
2019,11,5,13,7,1,3,23,1,9999,3,3
2019,99,6,13,7,1,3,19,1,9999,1,4
2019,99,6,13,7,1,3,19,1,9999,1,4
2019,99,6,13,7,1,3,19,1,9999,1,4
2019,5,11,13,7,2,3,21,1,2017,1,4
2019,99,16,13,7,1,1,0,1,9999,1,1
2019,99,16,13,7,1,1,0,1,9999,1,1
2019,99,16,13,7,2,1,0,1,9999,1,1
2019,99,16,13,7,2,1,0,1,9999,1,1
2019,99,18,13,7,1,1,9,1,9999,1,2
2019,99,18,13,7,2,1,9,1,9999,1,2
2019,99,18,13,7,2,1,9,1,9999,1,2
2019,99,18,13,7,2,1,9,1,9999,1,2
2019,99,18,13,7,2,1,9,1,9999,1,2
2019,5,17,13,7,2,2,17,1,9999,1,4
2019,5,7,13,7,2,3,23,1,9999,1,4
2019,5,7,13,7,2,3,23,1,9999,1,4
2019,1,1,14,1,2,3,19,1,2012,1,4
2019,1,1,14,1,2,3,19,1,2019,1,4
2019,5,1,14,1,2,1,8,1,2018,1,4
2019,1,1,14,1,1,1,3,1,9999,6,4
2019,99,22,14,1,1,1,5,1,9999,3,5
2019,99,22,14,1,2,1,5,1,9999,3,5
2019,99,22,14,1,2,1,5,1,9999,3,5
2019,99,22,14,1,2,1,5,1,9999,3,5
2019,99,22,14,1,2,1,5,1,9999,3,5
2019,99,22,14,1,2,1,5,1,9999,3,5
2019,99,5,14,1,2,3,19,1,9999,1,3
2019,1,5,14,1,2,3,19,1,9999,1,4
2019,99,5,14,1,1,3,23,1,9999,1,4
2019,5,5,14,1,1,2,14,1,9999,1,4
2019,9,8,14,1,1,1,6,1,9999,1,3
2019,99,16,14,1,1,3,21,1,9999,1,4
2019,5,17,14,1,2,3,20,1,9999,6,4
